cond_name,seed,n_mem,core_size,replay,retention_mean,retrieval_mean,WScc,WSuc,WSuu,Wcc,Wuc,Wuu,schema_strength
n2_c20_r1,42,2,20,1,0.13958375524089206,0.0125,0.18480156362056732,0.10647767782211304,0.06141778826713562,0.06411582976579666,0.0333668552339077,0.023433618247509003,0.07832388579845428
n4_c0_r1,42,4,0,1,0.09767850055777672,0.05,0.0,0.0,0.03991919383406639,0.0,0.0,0.01427601557224989,0.0
n4_c10_r1,42,4,10,1,0.18600879544828786,0.058333333333333334,0.5420368909835815,0.11554214358329773,0.04074881598353386,0.0702374055981636,0.02049897611141205,0.014681244269013405,0.4264947474002838
n4_c20_r0,42,4,20,0,0.0440362116205506,nan,nan,nan,nan,nan,nan,nan,nan
n4_c20_r0,1042,4,20,0,0.03532442182768136,nan,nan,nan,nan,nan,nan,nan,nan
n4_c20_r0,2042,4,20,0,0.035028713289648294,nan,nan,nan,nan,nan,nan,nan,nan
n4_c20_r1,42,4,20,1,0.3057665566448122,0.043750000000000004,0.6153438091278076,0.13169695436954498,0.1129339262843132,0.09025757014751434,0.03607362508773804,0.017787672579288483,0.48364685475826263
n4_c20_r1,1042,4,20,1,0.2811212114756927,0.0375,0.6156456470489502,0.1287539154291153,0.11348138004541397,0.06361368298530579,0.022434161975979805,0.008510801941156387,0.4868917316198349
n4_c20_r1,2042,4,20,1,0.28520973352715373,0.037500000000000006,0.5981202721595764,0.11834339797496796,0.10266809910535812,0.06258402019739151,0.01972891390323639,0.008930103853344917,0.47977687418460846
n4_c40_r0,42,4,40,0,0.04400332260411233,0.008333333333333333,0.050427764654159546,0.025890834629535675,0.014058760367333889,0.04576602950692177,0.014518818818032742,0.009413741528987885,0.02453693002462387
n4_c40_r1,42,4,40,1,0.0,1.0,1.4974075555801392,1.3352515697479248,1.277703046798706,0.3409569561481476,0.23265323042869568,0.20397453010082245,0.16215598583221436
n4_c80_r0,42,4,80,0,0.0,1.0,1.3140400648117065,1.310019850730896,1.3065611124038696,0.3433728814125061,0.07786024361848831,0.25941944122314453,0.004020214080810547
n4_c80_r1,42,4,80,1,0.0,1.0,1.4979074001312256,1.4869860410690308,1.4621070623397827,0.3433728814125061,0.07786024361848831,0.25941944122314453,0.010921359062194824
n6_c20_r1,42,6,20,1,0.0,1.0,1.496766209602356,1.1839485168457031,1.1475979089736938,0.34621524810791016,0.2222435027360916,0.19145521521568298,0.31281769275665283
n8_c20_r1,42,8,20,1,0.0,1.0,1.4979089498519897,1.4901361465454102,1.4752027988433838,0.34622901678085327,0.1744178831577301,0.18762089312076569,0.00777280330657959
