seed,condition,use_replay,M0_retention,M1_retention,M2_retention,M3_retention,deep_weight_mean
42,BF_FULL,True,0.025540876646118704,0.022591525188545347,0.019213072135244147,0.018281578579262714,5.79696575186972e-07
1042,BF_FULL,True,0.015675723043386824,0.024167048621166032,0.013184788840590045,0.014147066329314839,1.317092392127961e-05
2042,BF_FULL,True,0.01614850383339217,0.013327184889931232,0.020586227044987027,0.01612816340639256,1.306450485571986e-05
3042,BF_FULL,True,0.022029220534022897,0.017828262694820296,0.020618305294192396,0.014389768810360692,1.2912355487060267e-05
4042,BF_FULL,True,0.026280376419890672,0.016323673520673765,0.02638471113095875,0.022251148311625002,1.3053022485109977e-05
5042,BF_FULL,True,0.02132400126720313,0.01928257673716871,0.02310131238482427,0.01832467677013483,1.3133556421962567e-05
6042,BF_FULL,True,0.02254601096501574,0.0194901418290101,0.022715692946803756,0.015573636381304823,1.3112681699567474e-05
7042,BF_FULL,True,0.01644959726399975,0.02061632092227228,0.023062290645611938,0.014690911271827645,1.307553884544177e-05
8042,BF_FULL,True,0.03016736878635129,0.020222744718921604,0.02300227349769557,0.017861380179965636,1.2995321412745398e-05
9042,BF_FULL,True,0.010607713367789984,0.0179071852035122,0.017192341620102525,0.01597245036100503,1.3173753359296825e-05
42,BF_NO_REPLAY,False,0.025535053195198998,0.022493528693303233,0.019429206657150644,0.018339506460506527,5.197840096116124e-07
1042,BF_NO_REPLAY,False,0.016037878958741203,0.02427903535135556,0.012785879502189346,0.014353374433994759,1.3626457075588405e-05
2042,BF_NO_REPLAY,False,0.015989660845662,0.013022767339862185,0.020596217713318765,0.0161256782230339,1.3524209862225689e-05
3042,BF_NO_REPLAY,False,0.0222483664038009,0.018079866538755596,0.020441264707187656,0.014398335399164353,1.3339089491637424e-05
4042,BF_NO_REPLAY,False,0.02599839068716392,0.01663046588510042,0.026379732087661978,0.02211067162352265,1.3507357834896538e-05
5042,BF_NO_REPLAY,False,0.021582327331998385,0.0192579390204628,0.023276510393770877,0.018562715260486584,1.3603181287180632e-05
6042,BF_NO_REPLAY,False,0.02254310490388889,0.019424317666562274,0.022802724386565387,0.015608956586220302,1.3567549103754573e-05
7042,BF_NO_REPLAY,False,0.016364747083571274,0.020778597030584933,0.023087628242137725,0.014559011158780777,1.3541014595830347e-05
8042,BF_NO_REPLAY,False,0.029922614885435905,0.020362221723189577,0.02300710112831439,0.017859691452031257,1.3455278349283617e-05
9042,BF_NO_REPLAY,False,0.010229987259663176,0.01788625826156931,0.017175181481434265,0.016002579221094493,1.363126102660317e-05
