seed,memory_idx,retention,predicted,residual
42,0,0.3302956796251237,0.32685169005143266,0.0034439895736910198
42,1,0.3011199194006622,0.2898837944452097,0.011236124955452509
42,2,0.290959760081023,0.2652385307077277,0.025721229373295296
42,3,0.2445865445770323,0.24675458290461622,-0.0021680383275839155
1042,0,0.3089825226925313,0.32685169005143266,-0.017869167358901372
1042,1,0.2788204215466976,0.2898837944452097,-0.011063372898512058
1042,2,0.274012217996642,0.2652385307077277,0.008773687288914311
1042,3,0.2268685533199459,0.24675458290461622,-0.01988602958467031
2042,0,0.3069009445607662,0.32685169005143266,-0.019950745490666444
2042,1,0.2654425904620439,0.2898837944452097,-0.024441203983165793
2042,2,0.2486857909243554,0.2652385307077277,-0.016552739783372294
2042,3,0.2247530107852071,0.24675458290461622,-0.02200157211940912
3042,0,0.3173934943042695,0.32685169005143266,-0.009458195747163167
3042,1,0.28751010610722,0.2898837944452097,-0.0023736883379896767
3042,2,0.2769307282287627,0.2652385307077277,0.011692197521035008
3042,3,0.2298865800257772,0.24675458290461622,-0.016868002878839022
4042,0,0.3307220551650971,0.32685169005143266,0.0038703651136644535
4042,1,0.2873280360363424,0.2898837944452097,-0.0025557584088672924
4042,2,0.2796893047634512,0.2652385307077277,0.014450774055723536
4042,3,0.2432673538569361,0.24675458290461622,-0.003487229047680118
5042,0,0.3369573494419455,0.32685169005143266,0.010105659390512833
5042,1,0.3009152763988822,0.2898837944452097,0.01103148195367254
5042,2,0.2799257033038884,0.2652385307077277,0.014687172596160702
5042,3,0.2548962901346385,0.24675458290461622,0.008141707230022277
6042,0,0.3391787642613053,0.32685169005143266,0.012327074209872613
6042,1,0.3170862137340009,0.2898837944452097,0.027202419288791246
6042,2,0.294240609742701,0.2652385307077277,0.029002079034973316
6042,3,0.2458347333595156,0.24675458290461622,-0.0009198495451006039
7042,0,0.3054149497766047,0.32685169005143266,-0.021436740274827948
7042,1,0.2862586027476936,0.2898837944452097,-0.0036251916975160725
7042,2,0.2608422508928925,0.2652385307077277,-0.004396279814835202
7042,3,0.2246392846573144,0.24675458290461622,-0.022115298247301823
8042,0,0.3267551471944898,0.32685169005143266,-9.654285694288278e-05
8042,1,0.2861104174517095,0.2898837944452097,-0.003773376993500166
8042,2,0.2730066087096929,0.2652385307077277,0.007768078001965217
8042,3,0.2319628794211894,0.24675458290461622,-0.014791703483426816
9042,0,0.3171463795006275,0.32685169005143266,-0.009705310550805146
9042,1,0.3013567216694355,0.2898837944452097,0.011472927224225826
9042,2,0.271758277202025,0.2652385307077277,0.006519746494297318
9042,3,0.2388684903271496,0.24675458290461622,-0.007886092577466614
10042,0,0.3450172271113843,0.32685169005143266,0.01816553705995161
10042,1,0.3073052929248661,0.2898837944452097,0.017421498479656405
10042,2,0.291565626161173,0.2652385307077277,0.026327095453445304
10042,3,0.2447091750800609,0.24675458290461622,-0.002045407824555312
11042,0,0.3231796701438725,0.32685169005143266,-0.0036720199075601645
11042,1,0.2845328173134476,0.2898837944452097,-0.00535097713176208
11042,2,0.2788113916758448,0.2652385307077277,0.013572860968117106
11042,3,0.2378124645911157,0.24675458290461622,-0.008942118313500502
12042,0,0.3165987597312778,0.32685169005143266,-0.01025293032015484
12042,1,0.2976504417601973,0.2898837944452097,0.007766647314987607
12042,2,0.2774725172203034,0.2652385307077277,0.012233986512575734
12042,3,0.2340726980473846,0.24675458290461622,-0.012681884857231623
13042,0,0.3125044861808419,0.32685169005143266,-0.014347203870590741
13042,1,0.2775819224771112,0.2898837944452097,-0.012301871968098455
13042,2,0.2682156704831868,0.2652385307077277,0.0029771397754591034
13042,3,0.2298765573650598,0.24675458290461622,-0.01687802553955642
14042,0,0.3327215649187565,0.32685169005143266,0.005869874867323821
14042,1,0.2945699929259717,0.2898837944452097,0.004686198480762016
14042,2,0.2830480504781008,0.2652385307077277,0.017809519770373095
14042,3,0.2463720787782222,0.24675458290461622,-0.0003825041263940121
