cond,seed,use_replay,time_sec,mean_retention,M0_retention,M1_retention,M2_retention,M3_retention,ok,error
no_istdp,42,True,491.2154793739319,0.31746004009619355,0.3511573486030102,0.33287656400352716,0.31784527096897364,0.26796097680926323,True,
no_istdp,42,False,480.1387481689453,0.05292346538044512,0.05318866390734911,0.04993410687893629,0.05570391332730651,0.05286717740818858,True,
no_istdp,1042,True,491.7856261730194,0.29309436515904963,0.3232176164165139,0.2997403210029006,0.29470252990722656,0.25471699330955744,True,
no_istdp,1042,False,478.15380573272705,0.044946255278773606,0.03884394792839885,0.044420087710022926,0.05121870571747422,0.04530227975919843,True,
no_istdp,2042,True,491.65736865997314,0.2825511416886002,0.3316105315461755,0.28421495482325554,0.265944404527545,0.24843467585742474,True,
no_istdp,2042,False,476.7220604419708,0.04595165315549821,0.04104003682732582,0.037682421039789915,0.05709858611226082,0.04798556864261627,True,
no_istdp,3042,True,494.53851771354675,0.29486185568384826,0.33566551096737385,0.3023565402254462,0.2881842087954283,0.2532411627471447,True,
no_istdp,3042,False,477.5056653022766,0.046103494125418365,0.04382571671158075,0.03995640482753515,0.053231255151331425,0.04740059981122613,True,
no_istdp,4042,True,491.61811876296997,0.3073217479977757,0.3461985317990184,0.30420086439698935,0.30474979616701603,0.27413779962807894,True,
no_istdp,4042,False,478.4239299297333,0.048500692122615874,0.0457088784314692,0.03939149249345064,0.05753960972651839,0.05136278783902526,True,
no_istdp,5042,True,497.83259773254395,0.310620000353083,0.35181413125246763,0.31678006425499916,0.2970910668373108,0.2767947390675545,True,
no_istdp,5042,False,487.06147742271423,0.048235773807391524,0.0443042628467083,0.043378503527492285,0.05673539079725742,0.04852493805810809,True,
no_istdp,6042,True,499.900358915329,0.32841586018912494,0.3904585102573037,0.3350459858775139,0.31716667767614126,0.2709922669455409,True,
no_istdp,6042,False,486.15045189857483,0.043229493545368314,0.04022481199353933,0.03933446016162634,0.05085691483691335,0.042501787189394236,True,
no_istdp,7042,True,490.4862792491913,0.2847930935677141,0.3211847925558686,0.2975589269772172,0.27479451335966587,0.2456341413781047,True,
no_istdp,7042,False,476.8864281177521,0.0459165854845196,0.0400564088486135,0.04246032936498523,0.05364856729283929,0.04750103643164039,True,
no_istdp,8042,True,497.35905385017395,0.29638022696599364,0.33892568852752447,0.299551660194993,0.2911532511934638,0.2558903079479933,True,
no_istdp,8042,False,515.8131692409515,0.04849957302212715,0.04823197051882744,0.04235311597585678,0.057447867933660746,0.04596533766016364,True,
no_istdp,9042,True,1146.748051404953,0.2983890019822866,0.33230293449014425,0.3133182814344764,0.286625481210649,0.26130931079387665,True,
no_istdp,9042,False,919.217278957367,0.04078843258321285,0.03205907763913274,0.03714094590395689,0.04890007385984063,0.04505363292992115,True,
with_istdp,42,True,895.2249019145966,0.3243813158478588,0.36164196766912937,0.35359850618988276,0.3031561216339469,0.2791286678984761,True,
with_istdp,42,False,920.5323112010956,0.05292346538044512,0.05318866390734911,0.04993410687893629,0.05570391332730651,0.05286717740818858,True,
with_istdp,1042,True,900.7494881153107,0.30115134129300714,0.3263402385637164,0.30730666127055883,0.3085522726178169,0.26240619271993637,True,
with_istdp,1042,False,863.4585993289948,0.044946255278773606,0.03884394792839885,0.044420087710022926,0.05121870571747422,0.04530227975919843,True,
with_istdp,2042,True,895.9500269889832,0.28729463182389736,0.32885653525590897,0.2899270346388221,0.27905858866870403,0.25133636873215437,True,
with_istdp,2042,False,898.3423092365265,0.04595165315549821,0.04104003682732582,0.037682421039789915,0.05709858611226082,0.04798556864261627,True,
with_istdp,3042,True,919.5780818462372,0.2975721142720431,0.33803118858486414,0.3049716893583536,0.29197223857045174,0.25531334057450294,True,
with_istdp,3042,False,880.5393748283386,0.046103494125418365,0.04382571671158075,0.03995640482753515,0.053231255151331425,0.04740059981122613,True,
with_istdp,4042,True,910.7723658084869,0.31521961255930364,0.3533917795866728,0.30952039267867804,0.309860703535378,0.28810557443648577,True,
with_istdp,4042,False,880.711953163147,0.048500692122615874,0.0457088784314692,0.03939149249345064,0.05753960972651839,0.05136278783902526,True,
with_istdp,5042,True,1001.0676064491272,0.312831147108227,0.350675156340003,0.316339404322207,0.307701931335032,0.2766080964356661,True,
with_istdp,5042,False,1057.3506877422333,0.048235773807391524,0.0443042628467083,0.043378503527492285,0.05673539079725742,0.04852493805810809,True,
with_istdp,6042,True,1051.4554460048676,0.3229795841034502,0.36883334908634424,0.3323382558301091,0.31837071385234594,0.2723760176450014,True,
with_istdp,6042,False,904.6875157356262,0.043229493545368314,0.04022481199353933,0.03933446016162634,0.05085691483691335,0.042501787189394236,True,
with_istdp,7042,True,939.9427676200867,0.2957780882716179,0.3342851959168911,0.30028767324984074,0.29215892497450113,0.2563805589452386,True,
with_istdp,7042,False,891.783997297287,0.0459165854845196,0.0400564088486135,0.04246032936498523,0.05364856729283929,0.04750103643164039,True,
with_istdp,8042,True,1167.92316198349,0.292286132927984,0.3437871178612113,0.29836928844451904,0.27256100066006184,0.2544271247461438,True,
with_istdp,8042,False,2190.7824351787567,0.04849957302212715,0.04823197051882744,0.04235311597585678,0.057447867933660746,0.04596533766016364,True,
with_istdp,9042,True,2212.3203597068787,0.29991961014457047,0.3302134247496724,0.31004064716398716,0.296358460560441,0.2630659081041813,True,
with_istdp,9042,False,1236.7008893489838,0.04078843258321285,0.03205907763913274,0.03714094590395689,0.04890007385984063,0.04505363292992115,True,
